25,25
3,0,2
9,0,5
9,0,9
9,0,11
9,0,14
9,0,15
0,0,19
9,0,21
2,0,23
9,1,0
9,1,3
3,1,6
9,1,16
9,1,18
1,1,19
9,1,21
9,2,2
9,2,5
9,2,6
9,2,10
1,2,11
9,2,15
2,2,17
9,2,19
2,2,22
9,2,24
9,3,0
0,3,1
0,3,6
9,3,7
9,3,8
1,3,9
9,3,12
9,3,14
3,3,23
0,4,9
0,4,12
3,4,15
9,4,17
0,5,0
9,5,1
9,5,2
0,5,5
1,5,6
9,5,8
9,5,9
9,5,10
9,5,14
9,5,16
9,5,19
9,5,22
9,5,24
9,6,1
9,6,8
9,6,12
3,6,13
1,6,16
9,6,19
9,6,21
9,6,22
0,6,23
3,7,2
2,7,4
9,7,8
9,7,9
9,7,11
1,7,12
9,7,14
9,7,16
9,7,21
9,8,1
9,8,5
9,8,6
0,8,7
2,8,10
9,8,17
9,8,18
9,8,19
0,8,21
9,9,0
0,9,2
1,9,4
9,9,14
9,9,17
9,9,19
9,9,20
9,9,21
1,9,24
9,10,0
9,10,3
1,10,5
1,10,7
9,10,9
9,10,11
9,10,12
2,10,16
1,10,19
9,10,22
9,11,6
2,11,14
9,11,17
0,11,22
2,11,24
9,12,3
3,12,4
9,12,6
0,12,7
0,12,10
9,12,14
9,12,17
2,12,18
9,12,20
0,12,21
9,13,0
9,13,2
0,13,7
9,13,10
9,13,18
9,14,2
9,14,5
2,14,8
9,14,12
9,14,13
9,14,15
3,14,17
2,14,19
9,14,21
1,14,24
0,15,0
1,15,3
0,15,4
9,15,5
9,15,7
9,15,10
1,15,20
0,15,22
9,15,24
9,16,3
1,16,5
9,16,6
9,16,7
9,16,14
9,16,17
9,16,18
9,16,19
9,16,23
9,17,3
9,17,8
9,17,10
1,17,12
9,17,13
2,17,15
2,17,16
9,17,20
9,17,22
9,18,1
9,18,2
1,18,3
1,18,5
0,18,8
1,18,11
1,18,12
9,18,16
2,18,23
1,19,0
9,19,2
1,19,5
9,19,8
9,19,10
1,19,14
9,19,15
9,19,16
1,19,18
9,19,19
9,19,22
0,19,23
1,19,24
1,20,7
0,20,9
9,20,12
1,20,15
9,21,1
9,21,10
9,21,12
9,21,15
9,21,16
1,21,17
0,21,18
9,21,23
9,21,24
9,22,0
9,22,2
2,22,5
9,22,7
3,22,9
9,22,13
9,22,14
9,22,18
9,22,19
3,22,22
9,23,3
9,23,5
9,23,6
4,23,8
0,23,18
9,23,21
9,23,24
9,24,1
0,24,3
9,24,5
9,24,9
9,24,10
9,24,13
9,24,15
9,24,19
9,24,22
