25,25
9,0,2
9,0,4
9,0,6
9,0,7
9,0,9
9,0,12
9,0,13
9,0,16
9,0,17
9,0,20
0,1,1
0,1,2
9,1,6
9,1,9
9,1,11
2,1,14
9,1,17
9,1,18
2,1,19
0,1,20
9,1,23
9,2,4
1,2,6
3,2,7
2,2,10
3,2,12
9,2,14
9,2,15
9,2,17
9,2,20
9,2,23
0,2,24
9,3,5
1,3,9
9,3,11
9,3,12
9,3,13
9,3,16
3,3,19
9,4,0
1,4,1
9,4,2
9,4,7
2,4,12
9,4,16
0,4,17
1,4,18
0,4,22
9,4,24
1,5,1
3,5,3
0,5,6
1,5,16
9,5,21
9,6,1
9,6,4
2,6,8
9,6,13
2,6,17
9,6,19
9,6,22
9,6,23
9,6,24
9,7,0
9,7,1
9,7,2
9,7,4
9,7,6
9,7,12
0,7,20
9,7,22
9,7,24
9,8,0
9,8,3
9,8,4
9,8,5
9,8,8
0,8,9
1,8,16
3,8,18
2,9,2
9,9,11
9,9,12
9,9,13
2,9,14
9,9,16
9,9,21
9,9,23
9,9,24
9,10,1
9,10,2
2,10,9
3,10,22
9,11,0
0,11,3
9,11,6
9,11,9
3,11,12
9,11,15
9,11,21
9,11,23
9,12,0
9,12,2
9,12,3
1,12,4
0,12,7
9,12,9
9,12,11
9,12,13
1,12,15
1,12,17
9,12,20
9,12,21
9,12,22
9,12,24
9,13,1
9,13,3
9,13,9
9,13,12
0,13,15
0,13,18
0,13,21
9,13,24
9,14,2
9,14,15
9,14,22
1,14,23
9,15,0
2,15,1
9,15,3
0,15,8
9,15,10
9,15,11
9,15,12
1,15,13
0,15,22
2,16,6
9,16,8
9,16,15
9,16,16
9,16,19
9,16,20
9,16,21
9,16,24
1,17,0
9,17,2
9,17,4
1,17,12
0,17,18
9,17,20
9,17,22
9,17,23
9,17,24
9,18,0
2,18,1
1,18,2
1,18,5
9,18,7
0,18,11
2,18,16
9,18,20
1,18,23
1,19,3
9,19,8
9,19,18
3,19,21
9,19,23
9,20,0
9,20,2
0,20,6
1,20,7
1,20,8
9,20,12
9,20,17
9,20,22
1,20,23
9,20,24
9,21,5
9,21,8
9,21,11
9,21,12
9,21,13
1,21,15
9,21,19
0,22,0
1,22,1
9,22,4
2,22,7
9,22,9
1,22,10
9,22,12
2,22,14
9,22,17
1,22,18
0,22,20
9,23,1
0,23,4
2,23,5
9,23,6
9,23,7
9,23,10
9,23,13
9,23,15
1,23,18
1,23,22
9,23,23
9,24,4
9,24,7
9,24,8
1,24,11
2,24,12
9,24,15
9,24,17
9,24,18
9,24,20
9,24,22
