25,25
1,0,1
9,0,4
9,0,5
9,0,10
9,0,14
1,0,16
9,0,18
9,0,19
1,1,5
1,1,6
1,1,8
3,1,11
9,1,15
1,1,20
0,1,24
0,2,6
9,2,10
9,2,12
0,2,19
1,3,6
9,3,9
9,3,13
0,3,14
9,3,16
1,3,19
1,4,1
0,4,4
9,4,8
0,4,12
9,4,13
0,4,14
9,4,19
9,4,20
9,4,24
1,5,0
1,5,2
9,5,3
0,5,4
0,5,7
9,5,8
9,5,14
1,5,15
1,5,23
9,5,24
0,6,0
0,6,7
9,6,9
2,6,10
0,6,14
1,6,17
9,6,21
9,6,22
0,6,23
0,7,6
9,7,7
3,7,12
9,7,17
9,7,18
1,7,19
2,8,0
9,8,3
9,8,10
9,8,11
2,8,13
2,8,19
9,8,20
1,8,23
2,9,1
9,9,5
2,9,12
9,9,18
1,9,21
9,10,0
0,10,3
9,10,4
9,10,5
9,10,6
1,10,13
1,10,16
9,10,18
9,10,22
9,10,24
9,11,3
9,11,4
2,11,8
9,11,10
9,11,16
2,11,23
0,12,2
2,12,4
9,12,7
9,12,9
3,12,12
3,12,15
2,12,17
9,12,20
0,12,22
9,13,1
9,13,8
2,13,14
2,13,16
9,13,20
9,13,21
1,14,0
9,14,2
9,14,6
1,14,8
1,14,11
9,14,18
9,14,19
9,14,20
0,14,21
9,14,24
9,15,3
9,15,6
9,15,12
9,15,19
2,15,23
0,16,1
1,16,4
1,16,5
9,16,11
9,16,13
0,16,14
1,16,21
9,16,24
9,17,5
9,17,6
9,17,7
9,17,12
1,17,17
0,17,18
9,18,1
9,18,2
2,18,3
1,18,7
0,18,10
9,18,14
9,18,15
9,18,17
9,18,24
1,19,0
9,19,1
9,19,9
9,19,10
9,19,16
2,19,17
1,19,20
9,19,21
9,19,22
9,19,24
1,20,0
1,20,4
9,20,5
1,20,10
9,20,11
9,20,12
1,20,16
1,20,20
1,20,23
9,21,5
1,21,8
1,21,10
9,21,11
9,21,15
9,21,18
9,22,5
1,22,12
3,22,14
9,22,18
0,23,0
9,23,4
9,23,9
9,23,13
9,23,16
0,23,18
0,23,19
1,24,5
9,24,6
1,24,8
9,24,10
1,24,14
9,24,19
1,24,20
1,24,23
