25,25
2,0,3
9,0,10
0,0,11
1,0,15
9,0,16
9,0,18
2,0,20
1,0,22
9,1,1
9,1,5
9,1,8
9,1,9
1,1,11
2,1,16
9,1,19
1,1,23
1,2,0
3,2,3
9,2,4
9,2,5
1,2,6
9,2,12
9,2,18
2,2,20
0,3,9
9,3,13
1,3,22
9,3,24
9,4,0
2,4,2
2,4,5
0,4,9
9,4,13
0,4,14
0,4,18
1,4,22
9,5,1
9,5,9
2,5,11
9,5,15
1,5,16
0,5,20
9,5,22
1,5,23
9,6,0
9,6,2
9,6,4
9,6,7
9,6,8
9,6,10
2,6,12
9,6,22
9,7,8
9,7,9
9,7,10
0,7,13
1,7,18
1,8,0
9,8,1
9,8,5
0,8,9
9,8,17
9,8,18
1,8,23
9,9,0
1,9,5
0,9,14
1,9,16
9,9,17
2,9,19
9,9,20
9,9,21
0,9,23
9,10,4
9,10,9
9,10,11
1,10,12
1,10,17
9,10,18
9,10,24
1,11,3
2,11,4
3,11,7
9,11,12
9,11,14
3,11,19
9,11,23
0,11,24
9,12,2
2,12,6
9,12,10
9,12,11
9,12,13
1,12,14
3,12,18
2,12,22
0,13,0
1,13,1
9,13,5
9,13,10
9,13,12
9,13,17
9,13,20
9,13,21
1,14,0
9,14,6
9,14,7
1,14,12
9,14,13
9,14,15
3,14,20
9,15,1
0,15,3
9,15,4
9,15,5
9,15,7
0,15,8
1,15,10
9,15,19
9,15,24
1,16,1
2,16,6
9,16,7
9,16,15
9,16,19
9,16,23
9,16,24
0,17,6
1,17,11
0,17,14
9,17,15
9,17,16
9,18,2
9,18,12
9,18,14
9,18,16
9,18,17
9,18,20
1,18,22
1,18,24
1,19,1
9,19,2
0,19,4
1,19,8
0,19,9
9,19,13
9,19,15
9,19,23
9,20,2
9,20,6
9,20,10
1,20,11
1,20,15
9,20,19
9,20,22
9,20,24
0,21,0
9,21,2
2,21,11
9,21,15
9,22,4
9,22,6
2,22,12
9,22,18
0,22,19
0,22,20
0,22,21
1,22,24
2,23,1
9,23,5
1,23,8
9,23,13
9,23,15
1,23,16
1,23,19
2,23,23
9,24,2
1,24,4
1,24,6
9,24,8
9,24,9
9,24,13
9,24,14
1,24,21
