25,25
9,0,1
9,0,2
9,0,4
9,0,7
9,0,9
9,0,10
9,0,13
2,0,14
2,0,16
9,0,21
2,0,23
9,1,0
9,1,1
9,1,4
4,1,6
3,1,8
1,1,11
1,1,17
9,1,19
9,1,20
9,1,23
9,1,24
0,2,2
0,2,4
9,2,9
9,2,10
9,2,12
9,2,16
9,2,20
9,2,22
9,2,24
1,3,0
9,3,10
9,3,14
0,3,17
2,3,19
9,4,1
1,4,2
9,4,6
9,4,7
2,4,10
9,4,12
9,4,15
9,4,18
1,4,22
9,4,23
9,4,24
2,5,1
9,5,3
9,5,6
9,5,11
1,5,12
9,5,15
1,6,4
9,6,6
2,6,7
9,6,8
9,6,18
9,6,19
9,6,20
9,6,23
9,7,1
9,7,3
9,7,9
9,7,13
9,7,14
1,7,16
2,7,18
2,7,20
9,7,24
1,8,0
2,8,2
9,8,7
1,8,8
1,8,11
9,8,12
2,8,14
9,8,16
9,8,18
9,8,23
9,9,4
0,9,5
9,9,11
9,9,12
9,9,17
0,9,22
9,9,24
9,10,0
9,10,3
0,10,7
1,10,8
2,10,13
2,10,20
9,10,21
9,10,22
9,10,24
9,11,0
9,11,7
9,11,10
9,11,15
2,11,16
9,11,19
1,11,23
0,12,2
9,12,4
1,12,5
2,12,8
9,12,9
9,12,15
9,12,16
9,12,19
1,12,20
9,12,22
0,13,1
1,13,5
9,13,8
9,13,9
0,13,14
9,13,17
9,13,24
9,14,0
9,14,2
9,14,3
2,14,4
2,14,11
3,14,16
0,14,17
1,14,21
9,14,24
9,15,0
9,15,2
9,15,7
9,15,12
9,15,13
9,15,19
9,15,20
9,16,1
9,16,6
9,16,8
0,16,10
9,16,12
9,16,13
9,16,16
0,16,17
9,16,22
9,16,24
2,17,0
9,17,4
1,17,6
1,17,8
9,17,10
0,17,11
0,17,15
9,17,21
3,17,23
9,18,1
1,18,4
9,18,5
9,18,6
9,18,16
9,18,17
0,18,18
1,18,20
9,19,9
9,19,12
9,19,13
1,19,18
1,19,21
9,19,23
9,20,0
9,20,1
0,20,2
9,20,6
0,20,9
9,20,12
3,20,14
9,20,17
1,20,18
9,20,22
9,20,23
0,21,5
9,21,7
2,21,10
9,21,14
9,21,24
9,22,0
9,22,2
9,22,4
0,22,8
9,22,12
9,22,14
9,22,15
9,22,20
3,22,22
9,23,0
1,23,1
9,23,4
9,23,5
9,23,7
0,23,13
4,23,16
9,23,18
9,23,20
9,23,23
9,23,24
2,24,1
9,24,3
1,24,8
9,24,10
9,24,11
9,24,14
9,24,15
9,24,17
9,24,20
9,24,22
9,24,23
