25,25
9,0,0
1,0,5
0,0,6
9,0,7
0,0,8
9,0,14
1,0,16
9,0,20
9,0,21
9,0,23
1,0,24
1,1,0
1,1,9
1,1,12
1,1,18
9,1,21
9,1,22
9,2,1
1,2,2
9,2,6
3,2,8
9,2,12
9,2,16
9,2,20
1,2,22
9,3,0
9,3,1
0,3,4
9,3,7
2,3,14
1,3,18
9,4,0
9,4,2
1,4,7
0,4,9
9,4,14
9,4,17
2,4,21
9,5,14
1,5,17
1,5,24
9,6,1
0,6,3
9,6,8
0,6,10
9,6,14
1,6,15
9,6,16
2,6,22
9,6,24
9,7,4
0,7,5
9,7,12
9,7,14
9,7,20
9,7,21
9,7,24
2,8,0
9,8,2
9,8,6
9,8,11
9,8,14
1,8,18
9,8,22
9,8,24
9,9,6
2,9,10
9,9,12
9,9,13
9,9,14
3,9,20
0,9,23
0,10,0
2,10,3
0,10,4
0,10,5
9,10,6
9,10,7
1,10,8
0,10,9
9,10,10
2,10,12
9,10,14
1,10,15
9,10,18
9,11,9
9,11,16
0,12,1
0,12,2
1,12,7
9,12,9
9,12,10
9,12,12
9,12,14
9,12,15
1,12,17
0,12,22
0,12,23
9,13,8
9,13,15
1,14,6
9,14,9
1,14,10
9,14,12
9,14,14
9,14,15
0,14,16
9,14,17
0,14,18
9,14,19
0,14,20
0,14,21
2,14,24
9,15,1
9,15,4
9,15,10
9,15,11
9,15,12
9,15,14
9,15,18
1,16,0
2,16,2
1,16,6
0,16,10
9,16,13
9,16,18
3,16,22
9,16,24
9,17,0
9,17,3
1,17,4
9,17,10
1,17,12
0,17,19
9,17,20
1,18,0
9,18,2
0,18,8
1,18,9
9,18,10
2,18,14
9,18,16
9,18,21
9,18,23
9,19,0
9,19,7
9,19,10
0,20,3
0,20,7
9,20,10
2,20,15
9,20,17
3,20,22
9,20,24
1,21,6
9,21,10
1,21,17
1,21,20
9,21,23
9,21,24
9,22,2
3,22,4
1,22,8
1,22,12
2,22,16
9,22,18
9,22,22
9,22,23
9,23,2
9,23,3
9,23,6
0,23,12
1,23,15
9,23,24
1,24,0
9,24,1
9,24,3
9,24,4
1,24,8
0,24,10
9,24,16
9,24,17
1,24,18
0,24,19
0,24,24
